"URN","LA (code)","EstablishmentNumber","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
116075,"850","2383","Mayhill Junior School","Local authority maintained schools","Primary","Does not apply","12.9","Hart","Good"
116076,"850","2384","Woolton Hill Junior School","Local authority maintained schools","Primary","Does not apply","16.3","Basingstoke and Deane","Good"
116078,"850","2387","Norwood Primary School","Local authority maintained schools","Primary","Does not apply","15.5","Eastleigh","Good"
116079,"850","2388","Red Barn Community Primary School","Local authority maintained schools","Primary","Does not apply","7.9","Fareham","Outstanding"
116080,"850","2389","Newlands Primary School","Local authority maintained schools","Primary","Does not apply","4.7","Hart","Good"
116082,"850","2392","Four Lanes Infant School","Local authority maintained schools","Primary","Does not apply","8.8","Basingstoke and Deane","Outstanding"
116083,"850","2395","Castle Primary School","Local authority maintained schools","Primary","Does not apply","12.7","Fareham","Good"
116084,"850","2396","Bidbury Infant School","Local authority maintained schools","Primary","Does not apply","17.6","Havant","Outstanding"
116137,"850","2470","Hatch Warren Infant School","Local authority maintained schools","Primary","Does not apply","15.8","Basingstoke and Deane","Good"
116140,"850","2510","Cove Junior School","Local authority maintained schools","Primary","Does not apply","11.3","Rushmoor","Good"
116141,"850","2511","Cove Infant School","Local authority maintained schools","Primary","Does not apply","6.7","Rushmoor","Outstanding"
116142,"850","2512","Tower Hill Primary School","Local authority maintained schools","Primary","Does not apply","23","Rushmoor","Outstanding"
116143,"850","2516","Marlborough Infant School","Local authority maintained schools","Primary","Does not apply","3","Rushmoor","Good"
116144,"850","2517","South Farnborough Infant School","Local authority maintained schools","Primary","Does not apply","5.9","Rushmoor","Outstanding"
116145,"850","2519","North Farnborough Infant School","Local authority maintained schools","Primary","Does not apply","1.8","Rushmoor","Outstanding"
116146,"850","2520","Manor Junior School","Local authority maintained schools","Primary","Does not apply","20.9","Rushmoor","Good"
116147,"850","2521","Grange Community Junior School","Local authority maintained schools","Primary","Does not apply","28.8","Rushmoor","Outstanding"
116149,"850","2523","Talavera Junior School","Local authority maintained schools","Primary","Does not apply","9.6","Rushmoor","Outstanding"
116150,"850","2524","Manor Infant School","Local authority maintained schools","Primary","Does not apply","20.1","Rushmoor","Outstanding"
116151,"850","2526","Talavera Infant School","Local authority maintained schools","Primary","Does not apply","7.1","Rushmoor","Good"
116154,"850","2530","Parsonage Farm Nursery and Infant School","Local authority maintained schools","Primary","Does not apply","6.4","Rushmoor","Outstanding"
116155,"850","2531","South Farnborough Junior School","Local authority maintained schools","Primary","Does not apply","6.7","Rushmoor","Outstanding"
116157,"850","2533","Guillemont Junior School","Local authority maintained schools","Primary","Does not apply","12.1","Rushmoor","Good"
116158,"850","2534","Pinewood Infant School","Local authority maintained schools","Primary","Does not apply","10.3","Rushmoor","Good"
116162,"850","2606","Elson Junior School","Local authority maintained schools","Primary","Does not apply","13.5","Gosport","Requires improvement"
116163,"850","2607","Elson Infant School","Local authority maintained schools","Primary","Does not apply","11.6","Gosport","Good"
116164,"850","2610","Lee-on-the-Solent Junior School","Local authority maintained schools","Primary","Does not apply","11.4","Gosport","Requires improvement"
116165,"850","2612","Haselworth Primary School","Local authority maintained schools","Primary","Does not apply","35.3","Gosport","Good"
116166,"850","2613","Woodcot Primary School","Local authority maintained schools","Primary","Does not apply","16.5","Gosport","Good"
116168,"850","2617","Rowner Infant School","Local authority maintained schools","Primary","Does not apply","26.8","Gosport","Good"
116169,"850","2618","Alverstoke Community Infant School","Local authority maintained schools","Primary","Does not apply","3.4","Gosport","Outstanding"
116170,"850","2619","Grange Junior School","Local authority maintained schools","Primary","Does not apply","24.8","Gosport","Good"
116171,"850","2620","Grange Infant School","Local authority maintained schools","Primary","Does not apply","22.5","Gosport","Good"
116172,"850","2621","Alver Valley Junior School","Local authority maintained schools","Primary","Does not apply","27","Gosport","Good"
116173,"850","2622","Peel Common Infant School and Nursery Unit","Local authority maintained schools","Primary","Does not apply","8.7","Gosport","Good"
116174,"850","2623","Alver Valley Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","31.7","Gosport","Good"
116175,"850","2624","Peel Common Junior School","Local authority maintained schools","Primary","Does not apply","12.9","Gosport","Good"
116176,"850","2625","Gomer Infant School","Local authority maintained schools","Primary","Does not apply","8.3","Gosport","Outstanding"
116177,"850","2627","Brockhurst Primary School","Local authority maintained schools","Primary","Does not apply","25.4","Gosport","Good"
116180,"850","2630","Lee-On-the-Solent Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","9","Gosport","Good"
116224,"850","2717","Orchard Lea Infant School","Local authority maintained schools","Primary","Does not apply","12.4","Fareham","Good"
116225,"850","2718","Orchard Lea Junior School","Local authority maintained schools","Primary","Does not apply","15.7","Fareham","Good"
116228,"850","2723","Hook Infant School","Local authority maintained schools","Primary","Does not apply","6.5","Hart","Outstanding"
116230,"850","2725","King's Furlong Infant School and Nursery","Local authority maintained schools","Primary","Does not apply","15.5","Basingstoke and Deane","Requires improvement"
116231,"850","2726","Kings Furlong Junior School","Local authority maintained schools","Primary","Does not apply","23.1","Basingstoke and Deane","Good"
116232,"850","2727","Fairfields Primary School","Local authority maintained schools","Primary","Does not apply","13.3","Basingstoke and Deane","Good"
116233,"850","2728","Park Primary School","Local authority maintained schools","Primary","Does not apply","23.4","Rushmoor","Good"
116234,"850","2729","Alderwood School","Local authority maintained schools","All-through","Does not apply","17","Rushmoor","Good"
116237,"850","2732","Park View Primary School","Local authority maintained schools","Primary","Does not apply","30.7","Basingstoke and Deane","Good"
116241,"850","2736","Harestock Primary School","Local authority maintained schools","Primary","Does not apply","12.5","Winchester","Good"
116242,"850","2737","Weeke Primary School","Local authority maintained schools","Primary","Does not apply","9.1","Winchester","Good"
116243,"850","2739","Hazel Wood Infant School","Local authority maintained schools","Primary","Does not apply","13.6","New Forest","Outstanding"
116244,"850","2740","Hart Plain Junior School","Local authority maintained schools","Primary","Does not apply","36","Havant","Good"
116246,"850","2742","Southwood Infant School","Local authority maintained schools","Primary","Does not apply","1.5","Rushmoor","Good"
116247,"850","2749","Four Lanes Community Junior School","Local authority maintained schools","Primary","Does not apply","4","Basingstoke and Deane","Good"
116248,"850","2750","Queen's Inclosure Primary School","Local authority maintained schools","Primary","Does not apply","4.8","Havant","Good"
116249,"850","2752","Berrywood Primary School","Local authority maintained schools","Primary","Does not apply","4.4","Eastleigh","Good"
116250,"850","2753","Woodlea Primary School","Local authority maintained schools","Primary","Does not apply","20.2","East Hampshire","Good"
116255,"850","2761","Hatch Warren Junior School","Local authority maintained schools","Primary","Does not apply","12.5","Basingstoke and Deane","Good"
116256,"850","2763","Nightingale Primary School","Local authority maintained schools","Primary","Does not apply","24.2","Eastleigh","Good"
116260,"850","2767","Emsworth Primary School","Local authority maintained schools","Primary","Does not apply","12.5","Havant","Good"
116265,"850","2774","Morelands Primary School","Local authority maintained schools","Primary","Does not apply","20.6","Havant","Requires improvement"
116266,"850","3000","Abbotts Ann Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.1","Test Valley","Good"
116267,"850","3001","Saint Lawrence Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.7","East Hampshire","Good"
116268,"850","3003","Ampfield Church of England Primary School","Local authority maintained schools","Primary","Church of England","25.6","Test Valley","Good"
116269,"850","3004","Andover Church of England Primary School","Local authority maintained schools","Primary","Church of England","23","Test Valley","Good"
116270,"850","3009","Barton Stacey Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.3","Test Valley","Good"
116271,"850","3012","Binsted Church of England Primary School","Local authority maintained schools","Primary","Church of England","3.4","East Hampshire","Good"
116273,"850","3014","Botley Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","6.8","Eastleigh","Outstanding"
116275,"850","3018","Breamore Church of England Primary School","Local authority maintained schools","Primary","Church of England","10.9","New Forest","Good"
116276,"850","3019","Brockenhurst Church of England Primary School","Local authority maintained schools","Primary","Church of England","8.9","New Forest","Good"
116277,"850","3020","Bursledon Church of England Infant School","Local authority maintained schools","Primary","Church of England","17.6","Eastleigh","Good"
116278,"850","3022","Bramley Church of England Primary School","Local authority maintained schools","Primary","Church of England","15","Basingstoke and Deane","Good"
116279,"850","3023","Bentley Church of England Primary School","Local authority maintained schools","Primary","Church of England","3.6","East Hampshire","Outstanding"
116280,"850","3027","Catherington Church of England Infant School","Local authority maintained schools","Primary","Church of England","2.5","East Hampshire","Good"
116281,"850","3029","Chawton Church of England Primary School","Local authority maintained schools","Primary","Church of England","6.1","East Hampshire","Good"
116282,"850","3032","Copythorne CofE Infant School","Local authority maintained schools","Primary","Church of England","2.2","New Forest","Good"
116283,"850","3040","Durley Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","4.8","Winchester","Outstanding"
116284,"850","3046","East Meon Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","9.7","East Hampshire","Good"
116285,"850","3050","Ecchinswell and Sydmonton Church of England Primary School","Local authority maintained schools","Primary","Church of England","23.9","Basingstoke and Deane","Good"
116286,"850","3052","St James Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","7.8","Havant","Good"
116288,"850","3061","Four Marks Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.9","East Hampshire","Outstanding"
116289,"850","3062","Froxfield Church of England Primary and Pre-School","Local authority maintained schools","Primary","Church of England","4.7","East Hampshire","Good"
116290,"850","3067","Grayshott Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","3.9","East Hampshire","Good"
116292,"850","3081","Horndean Church of England Junior School","Local authority maintained schools","Primary","Church of England","8.6","East Hampshire","Good"
116293,"850","3082","Hurstbourne Tarrant Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.8","Test Valley","Outstanding"
116294,"850","3083","Hyde Church of England Primary School","Local authority maintained schools","Primary","Church of England","19.1","New Forest","Good"
116295,"850","3088","Kingsclere Church of England Primary School","Local authority maintained schools","Primary","Church of England","12.1","Basingstoke and Deane","Good"
116296,"850","3089","King's Somborne Church of England Primary School","Local authority maintained schools","Primary","Church of England","8.6","Test Valley","Good"
116297,"850","3095","St John the Baptist Church of England Primary School","Local authority maintained schools","Primary","Church of England","14.2","Fareham","Good"
116298,"850","3096","Long Sutton Church of England Primary School","Local authority maintained schools","Primary","Church of England","3.4","Hart","Good"
